algorithm,mode,threads,inputType,inputSize,sample,durationNs,timestamp
BUBBLE,SEQUENTIAL,1,RANDOM,1000,1,3920200,1761927602418
BUBBLE,SEQUENTIAL,1,RANDOM,1000,2,690000,1761927602424
BUBBLE,SEQUENTIAL,1,RANDOM,1000,3,1238900,1761927602426
BUBBLE,SEQUENTIAL,1,RANDOM,1000,4,1253100,1761927602427
BUBBLE,SEQUENTIAL,1,RANDOM,1000,5,1268100,1761927602429
BUBBLE,PARALLEL,2,RANDOM,1000,1,12344900,1761927602442
BUBBLE,PARALLEL,2,RANDOM,1000,2,1254200,1761927602444
BUBBLE,PARALLEL,2,RANDOM,1000,3,1447400,1761927602446
BUBBLE,PARALLEL,2,RANDOM,1000,4,1202800,1761927602448
BUBBLE,PARALLEL,2,RANDOM,1000,5,1042500,1761927602450
BUBBLE,PARALLEL,4,RANDOM,1000,1,1873700,1761927602453
BUBBLE,PARALLEL,4,RANDOM,1000,2,1563500,1761927602455
BUBBLE,PARALLEL,4,RANDOM,1000,3,3859100,1761927602460
BUBBLE,PARALLEL,4,RANDOM,1000,4,1790100,1761927602463
BUBBLE,PARALLEL,4,RANDOM,1000,5,2063300,1761927602466
BUBBLE,PARALLEL,8,RANDOM,1000,1,2612800,1761927602470
BUBBLE,PARALLEL,8,RANDOM,1000,2,4667300,1761927602475
BUBBLE,PARALLEL,8,RANDOM,1000,3,2921200,1761927602479
BUBBLE,PARALLEL,8,RANDOM,1000,4,13585000,1761927602494
BUBBLE,PARALLEL,8,RANDOM,1000,5,4638200,1761927602499
BUBBLE,SEQUENTIAL,1,SORTED,1000,1,3100,1761927602505
BUBBLE,SEQUENTIAL,1,SORTED,1000,2,2800,1761927602506
BUBBLE,SEQUENTIAL,1,SORTED,1000,3,1900,1761927602507
BUBBLE,SEQUENTIAL,1,SORTED,1000,4,800,1761927602508
BUBBLE,SEQUENTIAL,1,SORTED,1000,5,800,1761927602508
BUBBLE,PARALLEL,2,SORTED,1000,1,995100,1761927602510
BUBBLE,PARALLEL,2,SORTED,1000,2,1013200,1761927602512
BUBBLE,PARALLEL,2,SORTED,1000,3,1105800,1761927602514
BUBBLE,PARALLEL,2,SORTED,1000,4,1250900,1761927602517
BUBBLE,PARALLEL,2,SORTED,1000,5,1060900,1761927602519
BUBBLE,PARALLEL,4,SORTED,1000,1,1002500,1761927602520
BUBBLE,PARALLEL,4,SORTED,1000,2,2082500,1761927602524
BUBBLE,PARALLEL,4,SORTED,1000,3,1432000,1761927602526
BUBBLE,PARALLEL,4,SORTED,1000,4,2060600,1761927602529
BUBBLE,PARALLEL,4,SORTED,1000,5,1573200,1761927602531
BUBBLE,PARALLEL,8,SORTED,1000,1,2442700,1761927602534
BUBBLE,PARALLEL,8,SORTED,1000,2,2073100,1761927602537
BUBBLE,PARALLEL,8,SORTED,1000,3,2154800,1761927602540
BUBBLE,PARALLEL,8,SORTED,1000,4,2171100,1761927602543
BUBBLE,PARALLEL,8,SORTED,1000,5,2873900,1761927602547
BUBBLE,SEQUENTIAL,1,REVERSE,1000,1,469900,1761927602548
BUBBLE,SEQUENTIAL,1,REVERSE,1000,2,440100,1761927602551
